TrainCode,TrainDate,TrainOrigin,TrainDestination,scheduled_hour,scheduled_minute,day_of_week,arrival_delay_minutes
A906,28 Mar 2025,Dublin Connolly,Sligo,0,0,4,702.2
P744,28 Mar 2025,Maynooth,Dublin Connolly,8,33,4,-0.7
D913,28 Mar 2025,Dublin Connolly,Maynooth,0,0,4,688.5
P746,27 Mar 2025,Maynooth,Dublin Connolly,10,53,3,3.0
A606,27 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,3,806.9
E259,27 Mar 2025,Malahide,Bray,21,29,3,-0.7
E260,27 Mar 2025,Malahide,Bray,21,59,3,-0.3
A910,27 Mar 2025,Dublin Connolly,Sligo,0,0,3,927.3
P745,27 Mar 2025,Maynooth,Dublin Connolly,9,24,3,-0.3
A909,27 Mar 2025,Sligo,Dublin Connolly,16,27,3,3.4
D914,27 Mar 2025,Dublin Connolly,Maynooth,0,0,3,713.5
A908,27 Mar 2025,Dublin Connolly,Sligo,0,0,3,855.1
A911,27 Mar 2025,Sligo,Dublin Connolly,18,18,3,5.5
A906,27 Mar 2025,Dublin Connolly,Sligo,0,0,3,680.0
P744,27 Mar 2025,Maynooth,Dublin Connolly,8,33,3,-2.7
D913,27 Mar 2025,Dublin Connolly,Maynooth,0,0,3,686.9
P746,26 Mar 2025,Maynooth,Dublin Connolly,10,53,2,2.0
A606,26 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,2,804.6
E259,26 Mar 2025,Malahide,Bray,21,29,2,-0.1
E260,26 Mar 2025,Malahide,Bray,21,59,2,-2.2
A910,26 Mar 2025,Dublin Connolly,Sligo,0,0,2,950.7
P745,26 Mar 2025,Maynooth,Dublin Connolly,9,24,2,3.6
A909,26 Mar 2025,Sligo,Dublin Connolly,16,27,2,3.1
D914,26 Mar 2025,Dublin Connolly,Maynooth,0,0,2,714.6
A908,26 Mar 2025,Dublin Connolly,Sligo,0,0,2,852.3
A911,26 Mar 2025,Sligo,Dublin Connolly,18,18,2,4.6
A906,26 Mar 2025,Dublin Connolly,Sligo,0,0,2,773.5
P744,26 Mar 2025,Maynooth,Dublin Connolly,8,33,2,1.8
D913,26 Mar 2025,Dublin Connolly,Maynooth,0,0,2,690.6
P746,25 Mar 2025,Maynooth,Dublin Connolly,10,53,1,1.3
A606,25 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,1,805.9
E259,25 Mar 2025,Malahide,Bray,21,29,1,-1.8
E260,25 Mar 2025,Malahide,Bray,21,59,1,-1.4
A910,25 Mar 2025,Dublin Connolly,Sligo,0,0,1,955.2
P745,25 Mar 2025,Maynooth,Dublin Connolly,9,24,1,-1.1
A909,25 Mar 2025,Sligo,Dublin Connolly,16,27,1,6.3
D914,25 Mar 2025,Dublin Connolly,Maynooth,0,0,1,718.2
A908,25 Mar 2025,Dublin Connolly,Sligo,0,0,1,849.1
A911,25 Mar 2025,Sligo,Dublin Connolly,18,18,1,3.8
A906,25 Mar 2025,Dublin Connolly,Sligo,0,0,1,720.6
P744,25 Mar 2025,Maynooth,Dublin Connolly,8,33,1,0.2
D913,25 Mar 2025,Dublin Connolly,Maynooth,0,0,1,686.2
P746,24 Mar 2025,Maynooth,Dublin Connolly,10,53,0,8.6
A606,24 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,0,811.7
E259,24 Mar 2025,Malahide,Bray,21,29,0,-0.9
E260,24 Mar 2025,Malahide,Bray,21,59,0,1.2
A910,24 Mar 2025,Dublin Connolly,Sligo,0,0,0,944.4
P745,24 Mar 2025,Maynooth,Dublin Connolly,9,24,0,2.2
A909,24 Mar 2025,Sligo,Dublin Connolly,16,27,0,1.2
D914,24 Mar 2025,Dublin Connolly,Maynooth,0,0,0,717.0
A908,24 Mar 2025,Dublin Connolly,Sligo,0,0,0,853.6
A911,24 Mar 2025,Sligo,Dublin Connolly,18,18,0,3.2
A906,24 Mar 2025,Dublin Connolly,Sligo,0,0,0,737.9
P744,24 Mar 2025,Maynooth,Dublin Connolly,8,33,0,-2.9
D913,24 Mar 2025,Dublin Connolly,Maynooth,0,0,0,686.8
P746,23 Mar 2025,Maynooth,Dublin Connolly,16,54,6,-1.6
A606,23 Mar 2025,Dublin Connolly,Rosslare Europort,0,0,6,816.9
A910,23 Mar 2025,Dublin Connolly,Sligo,0,0,6,963.3
